Major,Description,Keywords,Career Options,Related Majors
Bioengineering,"Bioengineers use tools from biology, chemistry, physics, and math to solve engineering problems. These problems arise in human biological systems related tobiomaterials,biomechanics and prosthetics,tissue engineering,molecular modeling,imaging,bioinformatics,nanomedicine,synthetic biology,and drug delivery.This major will help you understand how human biological systems function. You'll also learn how to develop technology-based solutions to societal needs in human development and disease diagnosis, treatment, and prevention.The curriculum integrates principles of biology and engineering in its coursework. This coursework includes biomechanics, human physiology modeling, bioinstrumentation, and cell and tissue engineering. The curriculum is project-based, emphasizing systems-thinking as an approach to large-scale bioengineering problems. It also features hands-on laboratory courses for real-world experience.You'll take fundamental courses to learn more about Bioengineering your first two years. We'll also introduce you to clinically relevant projects as learning experiences. Your final two years, you'll focus on a particular track for further study. Our year-long senior capstone course will allow you to apply your knowledge to biological problems submitted by faculty, clinicians, and industrial firms.","relevant, allow, major, disease, project, projects, world, study, final, clinicians, diagnosis, tools, long, biomechanics, help, chemistry, nanomedicine, imaging, particular, human, related, math, use, tobiomaterials, problems, cell, firms, drug, needs, clinically, emphasizing, introduce, hands, capstone, societal, understand, bioinformatics, learn, tissue, based, treatment, bioengineering, biological, features, develop, real, bioinstrumentation, synthetic, solve, approach, knowledge, curriculum, biology, development, laboratory, focus, bioengineers, physiology, submitted, coursework, principles, apply, solutions, learning, technology, integrates, function, thinking, industrial, prosthetics, includes, years, systems, track, physics, faculty, arise, senior, scale, course, engineering, large, molecular, experiences, year, fundamental, modeling, courses","Bioinformatics, Consulting, Genomics, Health care, Pharmaceuticals, Medical devices, Consumer products, Hospitals & clinics, Government regulatory agencies, Patent law, Academia, Laboratory & research facilities, Product & process development, Quality & regulatory services, Operations & manufacturing","Agricultural and Biological Engineering (ENG) - ENG, Biochemistry - LAS, Chemistry - LAS, Materials Science and Engineering - ENG, Molecular and Cellular Biology - LAS"
Middle Grades Education (Grades 5-8),"This major prepares you to teach grades 5 through 8. If you join our program, you'll develop expertise in a specific content area such as math, science, social studies, or literacy. You will also learn how to plan teaching lessons in more than one content area. Our curriculum prepares you to work with school colleagues using a team approach.","approach, major, curriculum, teach, content, prepares, studies, expertise, join, colleagues, social, specific, work, learn, lessons, area, science, team, grades, plan, teaching, develop, literacy, program, school, math","Educational therapy, Guidance counseling, Middle school education, School administration","Art Education (K-12) - FAA, Elementary Education (Grades 1-6) - EDU, Mathematics - LAS, Psychology - LAS"
Biology,"Illinois offers two Biology majors: Integrative Biology and Molecular and Cellular Biology. If you’re interested in either of these majors, you’ll apply into our Biology program. You’ll spend your first year exploring the world of biology before deciding which path to pursue.Biology at Illinois provides a prestigious, customizable education. As a Biology student, you'll study molecular and cellular functions. You'll also study metabolic, genetic, and physiological processes common to life from molecules through global cycles. We’ll prepare you for a competitive job market, graduate school, or health-related professional school.","integrative, customizable, genetic, professional, competitive, education, prepare, graduate, physiological, job, biology, life, illinois, exploring, world, study, common, offers, health, functions, apply, processes, interested, metabolic, majors, cycles, prestigious, deciding, student, path, provides, cellular, molecules, market, global, molecular, year, program, school, related, spend",No career options listed.,"Biochemistry - LAS, Integrative Biology - LAS, Molecular and Cellular Biology - LAS"
Molecular and Cellular Biology,"Molecular and Cellular Biology (MCB) is the study of living organisms through two lenses. One is the understanding of basic molecular and cellular structure and function. The other is the metabolic, genetic, and physiological processes common to all organisms.MCB is made up of the departments of biochemistry, cell and developmental biology, microbiology, and molecular integrative physiology. It offers courses that explore:unique aspects differentiating living organismshow cells are organizedhow cells and organisms respond to each other and their environmenthow cells communicate signals and regulate gene expressionhow these processes go awry during injury, infection, or genetic diseasesThe curriculum imparts basic principles of modern biology and provides the fundamental, critical, and analytical skills necessary for a successful career. MCB also offers a Secondary Education option for the teaching of Biology in high schools.If you are interested in this major, apply into our Biology program. You may choose MCB as your major before your sophomore year.","integrative, genetic, developmental, microbiology, education, gene, choose, cell, modern, physiological, biochemistry, injury, curriculum, major, imparts, option, biology, organizedhow, explore, sophomore, physiology, mcb, departments, cells, study, common, basic, analytical, offers, principles, secondary, high, processes, apply, critical, interested, metabolic, organismshow, communicate, differentiating, expressionhow, career, function, aspects, necessary, skills, unique, respond, signals, teaching, structure, provides, cellular, successful, lenses, environmenthow, regulate, molecular, infection, organisms, diseasesthe, fundamental, living, awry, program, understanding, year, courses","Bioinformatics, Biosafety, Biotechnology & pharmaceuticals, Clinical technology, Cytotechnology, Dentistry, Education, Entrepreneurship, Forensic science, Genetic counseling, Government (NIH, EPA, FBI, CDC, DOD), Laboratory research, Law, Medicine, Optometry, Pharmacy, Physician assistantship, Public health, Research, Science journalism, Science policy, Science writing, editing, & publishing, Teaching, Toxicology, Veterinary medicine","Biochemistry - LAS, Bioengineering - ENG, Chemistry - LAS, Health Sciences, Interdisciplinary  - AHS, Integrative Biology - LAS"
Brain and Cognitive Science,"Brain and Cognitive Science investigates the brain and behavior of people. Thinking of the brain as a kind of computer, you’ll explore how brains and computers work. You’ll also learn how they explain mental functions like perception, learning, memory, and language. This major provides fundamental training in psychology, neuroscience, and computation. It allows for a great deal of flexibility in advanced courses. You’ll create a plan of study that best meets your career goals.","perception, create, major, computation, kind, best, computer, meets, deal, explore, psychology, neuroscience, memory, language, behavior, study, work, functions, learn, brain, learning, science, training, great, career, thinking, computers, people, goals, plan, investigates, mental, cognitive, allows, courses, provides, like, flexibility, advanced, fundamental, brains, explain","Behavioral Medicine, Cognitive Engineering, Computer Interface Development, Hospital Administration, Pharmaceutical Research, Speech Language Pathology, Teaching","Anthropology - LAS, Computer Science - ENG, Computer Science and Linguistics - LAS, Linguistics - LAS, Psychology - LAS"
Music,"This major is intended for students interested in the broad historical, cultural, and theoretical aspects of music, rather than professional training. There are four areas of study in our Bachelor of Arts program:CompositionMusic TechnologyMusicologyMusic+Each area of study has a different focus. Composition focuses on the creation of pieces and techniques behind music. Music Technology looks into the history and application of making music with technology. Musicology offers a cultural education that focuses on an end goal of research or teaching music history. If you have interests beyond these fields, you can create your own curriculum with Music+. Some examples include:Music+ BusinessMusic+ MediaMusic+ Recording ArtsMusic+ Administrative Arts","composition, professional, history, education, create, major, curriculum, goal, musicology, administrative, focus, broad, application, include, research, students, pieces, techniques, music, study, end, offers, intended, bachelor, historical, interested, theoretical, area, interests, recording, training, technology, aspects, looks, arts, focuses, cultural, compositionmusic, teaching, fields, creation, program, areas, different, examples, making","Arranging, Composition, Ethnomusicology, Equipment technology, Music editing, Music engineering & mixing, Music history, Music performance, Music promotion, Music publishing, Music recording, Music reporting, Music therapy, Research","Music Composition  - FAA, Music Open Studies - FAA, Musicology - FAA"
Business + Data Science,"In this major, you'll learn about business on a broad scale while also focusing on one of four specializations. The Business + DS major is paired with our data science curriculum. It will prepare you for many careers that allow you to manage and interpret datasets. It will also help you make informed decisions to improve business. Students can choose from four specializations, offered by the Department of Business Administration: Information SystemsLearn how to design and implement technology that businesses can use to organize data and make decisions. By adding data science to the mix, this specialization can help you go a step further! It allows you to analyze and interpret the data you're helping to organize. International BusinessThis specialization will equip you for the prospects, hurdles, and intricacies of global commerce. You'll also gain insights into data science. This dual focus empowers you to harness data for informed decisions on a global level. ManagementPrepare to become a leader and innovator! You'll learn more about leadership, planning, organization. You'll also discover other valuable skills for management positions. Plus, you'll get the data science knowledge you need to use data effectively in a managerial role. Operations ManagementYou'll study analytical decision-making, logistics, quality control, and supply chain management. This will help you learn skills for developing, making, and delivering goods and services. With the data science component, you can combine your knowledge with learning how to use data to inform your actions and decisions. First-year students need to apply to Business Undeclared for admission consideration to Gies. They then can pursue the Business + Data Science degree if admitted. Off-campus transfer students cannot directly apply into this program.","quality, allow, major, discover, operations, admission, implement, plus, adding, informed, students, component, leader, innovator, study, inform, undeclared, specialization, science, directly, actions, mix, leadership, intricacies, help, planning, effectively, delivering, prospects, use, goods, degree, chain, choose, design, focusing, analyze, broad, control, specializations, admitted, commerce, learn, decisions, helping, hurdles, gies, need, datasets, harness, logistics, valuable, empowers, global, making, combine, manage, management, supply, offered, role, decision, prepare, knowledge, curriculum, businessthis, level, focus, insights, managementprepare, step, apply, ds, positions, learning, consideration, technology, pursue, department, allows, organization, administration, careers, systemslearn, international, interpret, transfer, business, equip, gain, improve, paired, businesses, analytical, organize, scale, information, developing, managerial, campus, data, skills, services, dual, year, program","Sales forecasting, Systems analysis, Responsible spending & forecasting, Browser design & data analysis, Leading teams of data analysts, Data security, Sport data analytics","Accountancy + Data Science - BUS, Finance + Data Science - BUS, Information Systems - BUS, Management - BUS, Operations Management - BUS"
Music Composition,"This major focuses on the concepts of composition and teaching. Students take specialized classes in orchestration, music formalization, and jazz arranging. Coursework also includes experimental, electronic, and computer music. In this major, you'll be able collaborate with fellow music students. You can also use experimental music studios and have your original works performed. Students learn from exceptional faculty pushing the boundaries of contemporary music. Our program also prepares students for graduate study. You must pass an audition to be accepted into this major.","fellow, use, composition, collaborate, graduate, classes, major, works, pushing, prepares, computer, boundaries, experimental, students, exceptional, faculty, coursework, audition, music, study, formalization, electronic, able, learn, orchestration, jazz, pass, specialized, focuses, studios, original, teaching, contemporary, arranging, accepted, program, concepts, performed, includes","Arrangement, Composition, Film music editing, Music engineering & mixing, Music performance, Music recording, Music therapy, Teaching","Music - FAA, Music Education (K-12) - FAA, Music Jazz Performance - FAA, Musicology - FAA"
Business Undeclared,"All first-year students admitted to the Gies College of Business begin in our Business Undeclared program. You can explore all areas of study while learning from top professors. After finding the best fit for you, you'll declare your major by the end of your sophomore year.Business Undeclared students are directly admitted to Gies and guaranteed the ability to pursue the following majors: AccountancyAccountancy + Data ScienceFinanceFinance + Data ScienceInformation SystemsManagementMarketingOperations ManagementStrategy, Innovation and EntrepreneurshipSupply Chain Management","accountancyaccountancy, chain, management, major, best, business, fit, explore, guaranteed, sophomore, scienceinformation, students, admitted, study, end, innovation, sciencefinancefinance, following, finding, undeclared, learning, managementstrategy, gies, declare, majors, college, directly, entrepreneurshipsupply, pursue, data, systemsmanagementmarketingoperations, begin, professors, ability, year, program, areas",Business Undeclared is an entry point for first-year students and therefore not a degree program. You can see individual program career options and post-graduation success under each major linked above.,"Accountancy - BUS, Finance - BUS, Information Systems - BUS, Management - BUS, Marketing - BUS"
Music Education (K-12),"Music Education prepares you to be an accredited teacher for grades kindergarten through 12. You’ll choose from one of four concentrations: ChoralInstrumentalGeneral MusicTechnologyYou’ll also have the opportunity to be mentored by teachers in music classrooms from the Champaign-Urbana area. With this experience, you'll gain valuable insight into the teaching and running of a classroom. You must pass an audition to be accepted into this program.","champaign, urbana, education, choose, mentored, running, accredited, insight, classroom, prepares, gain, audition, music, teachers, classrooms, teacher, area, concentrations, opportunity, pass, choralinstrumentalgeneral, grades, valuable, teaching, kindergarten, accepted, experience, program","Choir or orchestral direction, Elementary education, Music performance, Music therapy, Secondary education","Music - FAA, Music Composition  - FAA, Music Open Studies - FAA, Music Voice Performance - FAA"
Chemical Engineering,"This major focuses on the chemical transformation of substances to products and energy for society. Chemical Engineering is rooted in chemistry. As a Chemical Engineering student, you’ll develop knowledge in physics, math, and chemistry. You'll learn about momentum transfer, separations, and reactor design. You’ll also apply this knowledge to real-world projects in lab and design classes in a way that will safely operate chemical processes. You can choose from two concentrations: Chemical Engineering and Biomolecular Engineering. This major is housed within our College of Liberal Arts and Sciences and maintains close ties with The Grainger College of Engineering. Students take advantage of resources and programs in both colleges.","housed, transfer, momentum, design, choose, knowledge, close, separations, major, classes, projects, way, advantage, biomolecular, products, maintains, students, world, physics, ties, chemical, liberal, learn, apply, transformation, processes, sciences, society, concentrations, grainger, college, engineering, arts, reactor, rooted, focuses, student, programs, chemistry, resources, energy, lab, substances, develop, safely, real, colleges, operate, math","Advanced materials, Consumer products, Food and beverage, Fuels and energy, Pharmaceuticals, Plastics","Biochemistry - LAS, Bioengineering - ENG, Chemistry - LAS, Integrative Biology - LAS, Molecular and Cellular Biology - LAS"
Music Instrumental Performance,"This major will prepare you for an artistic career in creative performance, studio teaching, or cultural ambassadorship. Coursework includes lessons, recitals, conducting, and ensemble experiences. You'll also take classes in music history and theory. You'll have opportunities to take part in small chamber groups and arts management. All orchestra and band instruments apply to this major. This includes piano, organ, and harpsichord. You must pass an audition to be accepted into this program.","management, instruments, prepare, history, piano, classes, major, organ, conducting, opportunities, harpsichord, studio, small, coursework, theory, music, audition, ensemble, apply, lessons, ambassadorship, career, pass, arts, orchestra, cultural, groups, band, teaching, chamber, recitals, creative, performance, accepted, experiences, artistic, program, includes","Arrangement, Composition, Conducting, Instrument services, Music performance, Teaching","Music - FAA, Music Education (K-12) - FAA, Music Jazz Performance - FAA, Music Open Studies - FAA, Musicology - FAA"
Music Jazz Performance,This major will prepare you for a career in instrumental or vocal jazz performance. You’ll study comprehensive coursework in jazz solo and ensemble literatures. Courses offered include:KeyboardImprovisationArrangingJazz historyCompositionStylesPedagogyMusic businessApplied instructionEnsemblesYou’ll have the chance to take part in some of our 18 campus jazz ensembles. Performance and studio recording opportunities also exist both on and off campus. You must pass an audition for acceptance into this program.,"offered, prepare, major, literatures, businessapplied, chance, instrumental, include, opportunities, studio, coursework, audition, study, ensemble, acceptance, recording, vocal, career, jazz, pass, campus, exist, ensembles, performance, solo, keyboardimprovisationarrangingjazz, comprehensive, program, historycompositionstylespedagogymusic, courses","Arrangement, Composition, Conducting, Music criticism, Music editing, Music performance, Music promotion & distribution, Music reporting, Producing, Teaching","Music - FAA, Music Education (K-12) - FAA, Music Voice Performance - FAA, Musicology - FAA"
Civil Engineering,"Civil and environmental engineers apply basic science principles to address society's biggest challenges. They use mathematical and computational tools to support their work. Civil and environmental engineers focus on such matters as: Ensuring clean air, safe drinking water, and sanitationAddressing our changing environment Protecting the population from natural and man-made hazards Designing a sustainable infrastructure that serves everyone Reimagining human and commodity traffic for an automated futureDesigning and constructing the world’s tallest buildings and most iconic bridges","use, address, natural, tallest, drinking, water, changing, computational, man, reimagining, safe, mathematical, population, iconic, sustainable, biggest, focus, world, clean, ensuring, air, basic, bridges, work, principles, apply, environmental, engineers, sanitationaddressing, infrastructure, society, environment, civil, traffic, buildings, science, support, tools, challenges, human, commodity, serves, matters, automated, protecting, hazards, constructing, futuredesigning, designing","Air & Water Quality/Purification, Construction Management, Energy-Water-Food Nexus, Forensic Engineering, Foundation Design, Green & Blue Infrastructure, Hazard Mitigation, Material Manufacturing & Design, Risk Management, Site Remediation, Solid & Hazardous Waste Management, Structural Design, Transportation Systems, Water Resources Planning & Design","Industrial Engineering - ENG, Landscape Architecture  - FAA, Systems Engineering and Design  - ENG, Urban Studies and Planning - FAA"
Music Open Studies,"This program is the chance for you to design your own major within Music. Students can explore areas of study according to their own musical interests. These interests can include jazz, piano pedagogy, musical theatre, arts administration, foreign language, and more. Whatever you choose, Music Open Studies allows you to find what interests you. You must pass an audition to be accepted into this program.","according, pedagogy, design, choose, piano, major, find, chance, studies, explore, include, students, language, open, audition, music, study, interests, jazz, pass, arts, allows, administration, foreign, accepted, program, areas, theatre, musical","Arts administration, Foreign language, Music & culture, Musical theatre, Piano pedagogy","Music - FAA, Music Composition  - FAA, Music Instrumental Performance - FAA, Music Voice Performance - FAA"
Classics,"Classics is the study of languages, culture, history, and thought of the civilizations of ancient Greece and Rome. Through this major, you will develop strong analytical and communication skills. The major also has an option for teaching if you would like to teach Latin. As a Classics student, you’ll study:Literature (including epic, drama, and historical writing)History and archaeology of the Greek and Roman MediterraneanPhilosophy and linguisticsYou can choose from two concentrations: Classical LanguagesClassical Civilizations","greece, history, choose, major, teach, epic, option, communication, civilizations, classics, including, ancient, classical, study, drama, analytical, latin, historical, archaeology, mediterraneanphilosophy, concentrations, roman, culture, languages, skills, thought, strong, student, rome, greek, teaching, like, develop, linguisticsyou, languagesclassical, literature","Business, Journalism, Law, Medicine, Research, Teaching","Anthropology - LAS, History - LAS, Linguistics - LAS, Philosophy - LAS"
Music Voice Performance,"Voice Performance centers around performing and studio teaching. You will study solo and ensemble literature in addition to working on vocal performance. Core classes include Italian, French, and German so you can master the diction of any piece you perform. You'll also have opportunities to perform onstage throughout your time as an undergraduate. This program will help you master performance, vocal control, and professionality in the music world. You must pass an audition to be accepted into this program.","diction, german, working, classes, professionality, addition, perform, undergraduate, control, master, include, french, opportunities, world, studio, audition, music, study, centers, ensemble, onstage, vocal, core, pass, voice, piece, time, help, performing, teaching, performance, solo, accepted, italian, program, literature","Conducting, Teaching, Vocal performance","Acting - FAA, Music Instrumental Performance - FAA, Music Jazz Performance - FAA, Music Open Studies - FAA"
Communication,"Communication teaches you to speak, write, and think critically about others’ messages as well as your own. As a Communication student, you will study communication across many domains. You will develop effective communication skills and learn how to teach others to improve their skills. You’ll learn how to be a critical thinker and problem solver for every situation you face. You’ll achieve knowledge of public advocacy and debate. You'll also learn about the political and social importance of communication in public and private life. If going into a field that includes a lot of collaboration sounds exciting, this major may be right for you.","solver, thinker, importance, teaches, write, field, think, knowledge, major, teach, advocacy, life, collaboration, communication, debate, sounds, exciting, critically, improve, political, private, social, lot, study, speak, public, right, effective, face, learn, critical, domains, problem, skills, situation, student, messages, develop, going, achieve, includes","Education, Event planning, Health administration, Human resources, Law, Public affairs, Public relations, Sales","Advertising - COM, English - LAS, Graphic Design - FAA, Journalism - COM, Sociology - LAS"
Musicology,"Musicology is designed for students interested in learning about music and sound in relation to their cultural, intellectual, and historical contexts. In this major, you’ll work with your advisor to structure a curriculum that works for you. Your coursework will include both music and non-music courses that focus on subjects you’re passionate about. Our professors are specialists in a wide range of topics and approaches to music and sound study. We offer both a Bachelor of Arts (BA) and a Bachelor of Music (BM) degree in Musicology.","topics, intellectual, wide, offer, degree, sound, major, curriculum, works, non, musicology, contexts, range, designed, focus, include, students, ba, advisor, coursework, music, specialists, study, passionate, work, bachelor, historical, interested, learning, bm, arts, subjects, relation, cultural, professors, structure, approaches, courses","Music history, Ethnomusicology, Research, Teaching","History - LAS, Music Composition  - FAA, Music Education (K-12) - FAA, Music Instrumental Performance - FAA, Music Jazz Performance - FAA"
"Nuclear, Plasma, and Radiological Engineering","This major focuses on how sources of nuclear energy and radiation are developed and used. Many of the exciting applications of this major are in energy production, materials processing, and science. This degree is also relevant for biomedical and industrial fields. In your classes you will think about the big picture of energy production and consumption. You’ll study radiological technology, risk assessment, and analysis. In this major, you can learn how to ensure homeland security through detection technology. Our program is also a good fit for students interested in current and developing fission and fusion technology. With this degree, you can learn how to make computers, cell phones, and game consoles better, cheaper, and faster.","degree, phones, consumption, relevant, detection, think, cell, classes, major, consoles, faster, processing, analysis, fit, exciting, picture, students, assessment, radiological, study, game, radiation, biomedical, learn, sources, cheaper, interested, developing, security, science, technology, production, computers, focuses, ensure, materials, risk, big, current, energy, good, applications, nuclear, fields, industrial, fission, homeland, program, fusion, better, developed","Controls & control systems, Energy policy & security, Fusion energy, Government & state regulations, Health physics, Materials performance & processing, Medical diagnostics & therapy, Microelectronics, Nuclear & medical instrumentation, Power plant design, supervision operations, & safety, Waste management","Bioengineering - ENG, Mechanical Engineering - ENG, Natural Resources and Environmental Sciences - ACES, Systems Engineering and Design  - ENG"
Philosophy,"Philosophy is the oldest, broadest, and most fundamental body of inquiry. In this major, you’ll ask investigative questions to better understand yourself, others, and more. You’ll explore the range of knowledge and experience, ethical issues, and value in society. This theoretical discipline emphasizes both deductive reasoning and rational argumentation. With this degree, you’ll learn powerful critical and independent thinking skills. You'll also enhance your verbal and written communication.","degree, investigative, value, knowledge, major, emphasizes, reasoning, ethical, communication, range, explore, written, argumentation, enhance, inquiry, verbal, understand, ask, body, learn, powerful, society, theoretical, philosophy, critical, thinking, discipline, questions, skills, oldest, deductive, broadest, experience, fundamental, rational, better, independent, issues","Academia, Business, Diplomacy, Government, Journalism, Law, Medicine, Public policy, Technology, Television","English - LAS, History - LAS, Journalism - COM, Media and Cinema Studies - COM"
Physics,"Physics is the study of nature that focuses on the properties of matter, energy, space, and time. It is the branch of science that forms the foundation of all natural sciences. Physics is the science behind many everyday technologies, including computers, cell phones, and supermarket scanners. It is also the foundation of great breakthroughs such as lasers, magnetic resonance imaging (MRI), particle accelerators, fiber-optic communications, and many others. Physics majors at the University of Illinois earn a Bachelor of Science in Physics. The major provides you with the tools to investigate and analyze scientific mysteries. You'll also develop a deep conceptual and mathematical understanding of the world. Our flexible program will prepare you for a variety of careers, including teaching. It will also allow you to continue your education through graduate study in physics, science, or engineering fields. The curriculum provides a rigorous foundation in physics, mathematics, and laboratory techniques. The comprehensive elective options allow you to tune your individual program of study to suit your interests and career goals.","phones, allow, major, resonance, world, space, study, particle, technologies, tune, everyday, supermarket, science, properties, continue, computers, tools, scientific, focuses, communications, energy, comprehensive, imaging, understanding, scanners, cell, magnetic, graduate, suit, analyze, mysteries, techniques, branch, rigorous, time, variety, foundation, earn, nature, develop, forms, natural, accelerators, prepare, curriculum, mathematical, illinois, laboratory, including, mathematics, optic, bachelor, mri, university, elective, interests, great, majors, matter, goals, lasers, fields, careers, options, fiber, individual, education, conceptual, investigate, flexible, physics, deep, sciences, career, engineering, breakthroughs, teaching, provides, program","Physics, Astronomy, Atmospheric Sciences, Business, Engineering, Finance, Medicine, Teaching","Astronomy - LAS, Chemistry - LAS, Electrical Engineering - ENG, Mathematics - LAS, Nuclear, Plasma, and Radiological Engineering - ENG"
Political Science,"In this major, you’ll study policy in nations, between nations, and in non-governmental settings. Students delve into questions of power, conflict, cooperation, and diversity in the U.S. and across the world. With these questions, you'll learn about decision-making and disagreement management. Instruction is divided into five areas: American politics, comparative politics, public policy, political theory, and international relations. Your coursework will teach you how to gather, analyze, and interpret data and evidence. You will also learn how to write and communicate with confidence. In your classes, you'll learn how to collaborate on projects. You can choose from seven concentrations:General Political ScienceCitizen PoliticsCivic LeadershipInternational RelationsLaw and PowerPublic Policy and Democratic InstitutionsWorld Politics","comparative, interpret, diversity, management, collaborate, relationslaw, decision, delve, american, write, choose, institutionsworld, politicscivic, classes, major, teach, projects, seven, non, evidence, relations, settings, power, analyze, nations, governmental, political, students, divided, world, international, democratic, cooperation, coursework, theory, study, policy, public, sciencecitizen, learn, politics, concentrations, disagreement, communicate, general, data, questions, confidence, powerpublic, conflict, leadershipinternational, instruction, areas, gather, making","City management, Congressional staffing, Data analysis, Diplomacy, Education, Elected positions, Human resources, Industrial relations, Journalism, National security analysis, Urban or logistical planning",
Portuguese,"In this major, you will learn to speak Portuguese with professional proficiency. You'll also study the cultural and academic aspects of globalization, migration, and nation-making. Our program teaches many aspects of history, including modernity, postmodernity, colonialism, and postcolonialism. Students also consider ethnicity, race, gender, sexuality, and class. With all these lenses, you'll address topics like the economy, the environment, and society at large. Coursework will focus on Brazil. Our program offers classes on Brazilian film and Luso-Brazilian culture. Portuguese texts and advanced grammar are also included in coursework to ensure fluency.","topics, professional, address, teaches, history, classes, major, grammar, sexuality, including, class, focus, included, globalization, nation, students, coursework, proficiency, study, migration, speak, fluency, offers, learn, academic, postcolonialism, economy, society, race, environment, colonialism, modernity, gender, large, aspects, culture, brazilian, texts, consider, cultural, ensure, luso, brazil, lenses, like, advanced, ethnicity, program, film, postmodernity, portuguese, making","Academia, Agriculture, Diplomacy, Commodities trading, International business, International consulting, Marketing, Social work, Translation & interpretation","Latin American Studies - LAS, Latina/Latino Studies - LAS, Management - BUS, Spanish - LAS"
Religion,"In this major, you'll learn about diverse religious traditions from many disciplinary perspectives. You will study religion in different cultures and historical periods. You'll also learn about the impact of religion in ethics, politics, literature, intellectual history, philosophy, and society in general. This gives students a broad exposure of the major religious traditions of the world. In our program, students concentrate on a particular area of interest as well. Concentrations include:BuddhismChristianityHinduismIslamJudaismPhilosophy of ReligionReligion in AmericaIndividually designed areas of study","intellectual, concentrate, religious, history, major, diverse, buddhismchristianityhinduismislamjudaismphilosophy, designed, americaindividually, ethics, broad, include, cultures, students, world, interest, perspectives, study, periods, learn, politics, historical, society, area, philosophy, general, concentrations, exposure, religionreligion, traditions, religion, disciplinary, program, impact, particular, areas, different, gives, literature","Business, Divinity, Education, Government, International advocacy, Journalism, Law, Ministry, Nonprofit work, Theology","Anthropology - LAS, History - LAS, History of Art - LAS, Journalism - COM, Sociology - LAS"
"Russian, East European, and Eurasian Studies","In this major, you’ll develop a broad expertise in the history, politics and culture of an important area of the world. Students will learn about Russia as well as many other countries, from the Czech Republic to Estonia to Uzbekistan. This is an interdisciplinary major with a focus on current affairs. Your coursework will include classes in history, sociology, and political science. Students can construct their own program that suits their interests and career goals.","history, russia, classes, major, sociology, expertise, focus, broad, include, political, important, students, countries, world, coursework, learn, politics, area, construct, interests, czech, science, estonia, career, culture, uzbekistan, interdisciplinary, goals, suits, current, affairs, develop, republic, program","Academia, Government, Nonprofit work, Social services","History - LAS, Public Policy & Law - ACES, Slavic Studies - LAS, Sociology - LAS"
Slavic Studies,"In this major, you’ll focus on the language, literature, and culture of Russia in a historical context. Students will develop intensive cultural literacy and communication skills through humanities-oriented training. Our program will encourage you to study abroad in places like Moscow, St. Petersburg, Prague, and Krakow. These opportunities will expand your education in ways that aren't available in the United States. You can choose from five concentrations: Czech StudiesPolish Studies Russian Language, Literature, and CultureSouth Slavic StudiesUkrainian Studies","oriented, education, slavic, choose, united, russia, russian, major, st, communication, studies, studiesukrainian, focus, moscow, opportunities, students, language, states, prague, study, krakow, intensive, petersburg, expand, historical, concentrations, encourage, abroad, czech, humanities, training, culture, studiespolish, skills, cultural, culturesouth, ways, context, like, develop, literacy, program, places, available, literature","Business, Community work, Creative arts, Government, Journalism, Law, Research, Teaching","History - LAS, Public Policy & Law - ACES, Russian, East European, and Eurasian Studies - LAS, Theatre Studies - FAA"
Sociology,"In this major, you’ll learn about the inner workings of society. Sociology students gain a distinctive set of conceptual tools. These tools can be used to understand and solve the problems in our complex social world. Our program will teach you research methods that will help you better understand social diversity and change. You'll learn both in the classroom and through hands-on opportunities. Students will gain analytical skills by delving into social statistics. Students will also develop creativity, critical thinking, collaboration, and excellent written expression.","statistics, excellent, diversity, solve, workings, problems, complex, major, conceptual, classroom, teach, set, creativity, collaboration, sociology, written, inner, gain, opportunities, research, students, world, social, hands, understand, analytical, learn, methods, society, critical, change, thinking, tools, skills, help, expression, develop, delving, program, better, distinctive","Human resources, Law, Medicine, Nonprofit work, Social work, Sociology","Anthropology - LAS, Gender and Women's Studies - LAS, Psychology - LAS, Social Work - SSW"
Spanish,"In this major, you’ll gain mastery of the Spanish language while learning core concepts of Spanish culture, literature, and linguistics. Our program offers a variety of opportunities so that you can shape your studies to fit your interests. You'll have chances to study abroad, work with faculty, and take part in community service. This degree will prepare you to engage in a changing world where Spanish is a crucial language. The Spanish major is often chosen in conjunction with another major. There is also a Teacher Education option that prepares students to teach Spanish.","degree, engage, prepare, education, mastery, major, community, changing, teach, option, prepares, studies, fit, service, crucial, gain, opportunities, students, world, language, faculty, conjunction, study, offers, work, chances, linguistics, teacher, learning, interests, abroad, core, shape, culture, spanish, variety, chosen, program, concepts, literature","Business, Medicine, Public service, Teaching, Translation","Latin American Studies - LAS, Latina/Latino Studies - LAS, Management - BUS, Marketing - BUS"
Statistics,"Statistics is the science of modeling, summarizing, and analyzing data. With statistics, you can make predictions and decisions about uncertain situations. This branch of mathematics is applicable in any area involving quantitative measurement. In this major, you'll gain an understanding of statistical inference. You will also learn about applied statistical analysis. This includes experimental design, simulation, model selection, and validation.","statistics, statistical, analyzing, design, major, predictions, measurement, model, situations, analysis, summarizing, gain, experimental, quantitative, mathematics, branch, learn, decisions, area, applied, science, simulation, inference, uncertain, data, involving, applicable, selection, modeling, understanding, validation, includes","Business, Government, Industry, Medical research","Computer Science - ENG, Economics - LAS, Mathematics - LAS, Statistics and Computer Science - LAS"
